#,Quest,Unknown2,Image[0],Image[1],Image[2],Image[3],Image[4],Image[5],Image[6],Image[7],Image[8],Image[9],Image[10],Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7],Text[8],Text[9],Text[10],Unknown0,Unknown1
130.0,70853,0,0,0,0,0,0,0,0,0,0,0,0,1224,1251,0,0,0,0,0,0,0,0,0,0,0
130.1,70853,0,0,180585,0,0,0,0,0,0,0,0,0,1225,1252,1253,0,0,0,0,0,0,0,0,0,0
131.0,0,0,0,180586,0,0,0,0,0,0,0,0,0,1226,1254,1255,0,0,0,0,0,0,0,0,0,0
132.0,0,0,0,86306,0,0,0,0,0,0,0,0,0,1227,1256,1257,0,0,0,0,0,0,0,0,0,0
132.1,0,0,0,86307,0,0,0,0,0,0,0,0,0,1228,1258,1259,0,0,0,0,0,0,0,0,0,0
132.2,0,0,0,86309,0,0,0,0,0,0,0,0,0,1408,1414,1415,0,0,0,0,0,0,0,0,0,0
132.3,0,0,0,86308,0,0,0,0,0,0,0,0,0,1409,1416,1417,0,0,0,0,0,0,0,0,0,0
133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,1261,0,0,0,0,0,0,0,0,0,0,0
134.0,0,0,0,86280,0,0,0,0,0,0,0,0,0,1288,1321,1322,0,0,0,0,0,0,0,0,0,0
134.1,0,0,0,86282,86285,86301,0,0,0,0,0,0,0,1289,1323,1324,1397,1398,0,0,0,0,0,0,0,0
134.2,0,0,0,180590,0,0,0,0,0,0,0,0,0,1395,1399,1400,0,0,0,0,0,0,0,0,0,0
134.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,1401,0,0,0,0,0,0,0,0,0,0,0
134.4,70945,0,0,86281,0,0,0,0,0,0,0,0,0,1423,1424,1425,0,0,0,0,0,0,0,0,0,0
135.0,0,0,0,86282,86283,180567,180568,180569,180570,180589,0,0,0,1290,1325,1326,1327,1328,1329,1330,1331,1555,0,0,0,0
135.1,0,0,0,180594,180593,86298,0,0,0,0,0,0,0,1405,1550,1426,1551,1552,0,0,0,0,0,0,0,0
135.2,0,0,0,180570,180571,180591,0,0,0,0,0,0,0,1291,1332,1333,1334,0,0,0,0,0,0,0,0,0
135.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,1388,0,0,0,0,0,0,0,0,0,0,0
135.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,1428,0,0,0,0,0,0,0,0,0,0,0
135.5,0,0,0,180572,86284,0,0,0,0,0,0,0,0,1292,1335,1393,1394,0,0,0,0,0,0,0,0,0
135.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1293,1402,0,0,0,0,0,0,0,0,0,0,0
135.7,0,0,0,180598,180592,0,0,0,0,0,0,0,0,1391,1403,1585,0,0,0,0,0,0,0,0,0,0
135.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,1404,0,0,0,0,0,0,0,0,0,0,0
135.9,0,0,0,180599,0,0,0,0,0,0,0,0,0,1586,1587,1588,0,0,0,0,0,0,0,0,0,0
136.0,0,0,0,86285,180573,0,0,0,0,0,0,0,0,1294,1336,1337,1338,0,0,0,0,0,0,0,0,0
136.1,0,0,0,86286,86303,86287,180574,0,0,0,0,0,0,1295,1339,1340,1429,1341,1342,0,0,0,0,0,0,0
136.2,0,0,0,86288,86303,0,0,0,0,0,0,0,0,1296,1343,1344,1430,0,0,0,0,0,0,0,0,0
137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297,1345,0,0,0,0,0,0,0,0,0,0,0
137.1,0,0,0,86289,0,0,0,0,0,0,0,0,0,1298,1346,1347,0,0,0,0,0,0,0,0,0,0
137.2,0,0,0,86290,0,0,0,0,0,0,0,0,0,1299,1348,1349,0,0,0,0,0,0,0,0,0,0
137.3,1,0,0,86291,0,0,0,0,0,0,0,0,0,1300,1350,1351,0,0,0,0,0,0,0,0,0,5
138.0,0,0,0,180575,0,0,0,0,0,0,0,0,0,1301,1352,1353,0,0,0,0,0,0,0,0,0,0
139.0,0,0,0,86292,180576,86293,0,0,0,0,0,0,0,1302,1354,1355,1356,1357,0,0,0,0,0,0,0,0
140.0,0,0,0,86294,0,0,0,0,0,0,0,0,0,1303,1358,1359,0,0,0,0,0,0,0,0,0,0
140.1,0,0,0,180577,0,0,0,0,0,0,0,0,0,1304,1360,1361,0,0,0,0,0,0,0,0,0,0
140.2,0,0,0,180578,0,0,0,0,0,0,0,0,0,1305,1362,1363,0,0,0,0,0,0,0,0,0,0
141.0,9,0,0,86295,0,0,0,0,0,0,0,0,0,1306,1364,1365,0,0,0,0,0,0,0,0,0,5
142.0,0,0,0,86296,180579,86297,0,0,0,0,0,0,0,1307,1366,1367,1368,1390,0,0,0,0,0,0,0,0
142.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,1369,0,0,0,0,0,0,0,0,0,0,0
143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,1370,0,0,0,0,0,0,0,0,0,0,0
143.1,0,0,0,86299,0,0,0,0,0,0,0,0,0,1310,1371,0,0,0,0,0,0,0,0,0,0,0
143.2,0,0,0,180580,0,0,0,0,0,0,0,0,0,1311,1373,1374,0,0,0,0,0,0,0,0,0,0
143.3,0,0,0,86300,0,0,0,0,0,0,0,0,0,1312,1375,1376,0,0,0,0,0,0,0,0,0,0
143.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1313,1377,0,0,0,0,0,0,0,0,0,0,0
144.0,0,0,0,86301,0,0,0,0,0,0,0,0,0,1314,1378,1379,0,0,0,0,0,0,0,0,0,0
144.1,0,0,0,180581,0,0,0,0,0,0,0,0,0,1315,1380,1381,0,0,0,0,0,0,0,0,0,0
144.2,0,0,0,180582,86302,0,0,0,0,0,0,0,0,1316,1382,1383,1384,0,0,0,0,0,0,0,0,0
144.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,1385,0,0,0,0,0,0,0,0,0,0,0
144.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,1386,0,0,0,0,0,0,0,0,0,0,0
144.5,70945,0,0,86312,0,0,0,0,0,0,0,0,0,1553,1554,0,0,0,0,0,0,0,0,0,0,0
145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319,1387,0,0,0,0,0,0,0,0,0,0,0
145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,1389,0,0,0,0,0,0,0,0,0,0,0
145.2,70945,0,0,0,0,0,0,0,0,0,0,0,0,1431,1432,0,0,0,0,0,0,0,0,0,0,0
146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434,1435,0,0,0,0,0,0,0,0,0,0,0
146.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,1437,0,0,0,0,0,0,0,0,0,0,0
146.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,1439,0,0,0,0,0,0,0,0,0,0,0
147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,1442,0,0,0,0,0,0,0,0,0,0,0
148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,1445,0,0,0,0,0,0,0,0,0,0,0
148.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,1447,0,0,0,0,0,0,0,0,0,0,0
148.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,1449,0,0,0,0,0,0,0,0,0,0,0
149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,1452,0,0,0,0,0,0,0,0,0,0,0
149.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1453,1454,0,0,0,0,0,0,0,0,0,0,0
149.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1455,1456,0,0,0,0,0,0,0,0,0,0,0
149.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,1622,0,0,0,0,0,0,0,0,0,0,0
150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,1458,0,0,0,0,0,0,0,0,0,0,0
150.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,1460,0,0,0,0,0,0,0,0,0,0,0
151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,1463,0,0,0,0,0,0,0,0,0,0,0
152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,1466,0,0,0,0,0,0,0,0,0,0,0
152.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1467,1468,0,0,0,0,0,0,0,0,0,0,0
152.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,1470,0,0,0,0,0,0,0,0,0,0,0
153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,1473,0,0,0,0,0,0,0,0,0,0,0
153.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,1475,0,0,0,0,0,0,0,0,0,0,0
154.0,70943,0,0,0,0,0,0,0,0,0,0,0,0,1477,1478,0,0,0,0,0,0,0,0,0,0,0
154.1,70943,0,0,0,0,0,0,0,0,0,0,0,0,1479,1480,0,0,0,0,0,0,0,0,0,0,0
154.2,70943,0,0,0,0,0,0,0,0,0,0,0,0,1481,1482,0,0,0,0,0,0,0,0,0,0,0
154.3,70943,0,0,0,0,0,0,0,0,0,0,0,0,1483,1484,0,0,0,0,0,0,0,0,0,0,0
155.0,0,0,0,180600,0,0,0,0,0,0,0,0,0,1487,1488,1513,0,0,0,0,0,0,0,0,0,0
156.0,0,0,180601,0,0,0,0,0,0,0,0,0,0,1490,1491,0,0,0,0,0,0,0,0,0,0,0
156.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,1493,0,0,0,0,0,0,0,0,0,0,0
157.0,0,0,180602,0,0,0,0,0,0,0,0,0,0,1495,1496,0,0,0,0,0,0,0,0,0,0,0
157.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,1498,0,0,0,0,0,0,0,0,0,0,0
157.2,0,0,180605,0,0,0,0,0,0,0,0,0,0,1509,1510,0,0,0,0,0,0,0,0,0,0,0
158.0,0,0,180600,0,0,0,0,0,0,0,0,0,0,1500,1501,0,0,0,0,0,0,0,0,0,0,0
158.1,0,0,180603,0,0,0,0,0,0,0,0,0,0,1504,1505,0,0,0,0,0,0,0,0,0,0,0
158.2,0,0,0,180604,0,0,0,0,0,0,0,0,0,1502,1503,1514,0,0,0,0,0,0,0,0,0,0
158.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,1507,1508,1515,1516,0,0,0,0,0,0,0,0
159.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,1523,0,0,0,0,0,0,0,0,0,0,0
159.1,0,0,180606,0,0,0,0,0,0,0,0,0,0,1519,1520,0,0,0,0,0,0,0,0,0,0,0
159.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,1518,0,0,0,0,0,0,0,0,0,0,0
160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166.0,1065,0,0,0,0,0,0,0,0,0,0,0,0,1557,1558,0,0,0,0,0,0,0,0,0,0,6
166.1,1065,0,0,0,0,0,0,0,0,0,0,0,0,1559,1560,0,0,0,0,0,0,0,0,0,0,6
166.2,1065,0,0,0,0,0,0,0,0,0,0,0,0,1561,1562,0,0,0,0,0,0,0,0,0,0,6
167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564,1565,0,0,0,0,0,0,0,0,0,0,0
168.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,1568,0,0,0,0,0,0,0,0,0,0,0
168.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,1570,0,0,0,0,0,0,0,0,0,0,0
168.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,1572,0,0,0,0,0,0,0,0,0,0,0
169.0,0,0,0,86313,0,0,0,0,0,0,0,0,0,1574,1578,1579,0,0,0,0,0,0,0,0,0,0
169.1,0,0,0,86314,180596,0,0,0,0,0,0,0,0,1575,1580,1581,0,0,0,0,0,0,0,0,0,0
169.2,0,0,0,180597,0,0,0,0,0,0,0,0,0,1576,1582,0,0,0,0,0,0,0,0,0,0,0
169.3,0,0,0,86315,0,0,0,0,0,0,0,0,0,1577,1583,1584,0,0,0,0,0,0,0,0,0,0
170.0,70984,0,0,0,0,0,0,0,0,0,0,0,0,1590,1591,0,0,0,0,0,0,0,0,0,0,0
170.1,70984,0,0,86327,86328,86329,0,0,0,0,0,0,0,1592,1593,1594,1595,0,0,0,0,0,0,0,0,0
171.1,0,0,0,86316,0,0,0,0,0,0,0,0,0,1602,1603,0,0,0,0,0,0,0,0,0,0,0
171.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,1605,0,0,0,0,0,0,0,0,0,0,0
171.3,0,0,0,86317,86318,86319,86320,86326,0,0,0,0,0,1606,1607,1608,1609,1610,1611,1612,0,0,0,0,0,0
171.4,0,0,0,86322,0,0,0,0,0,0,0,0,0,1613,1614,0,0,0,0,0,0,0,0,0,0,0
171.5,0,0,0,86323,86324,0,0,0,0,0,0,0,0,1615,1616,1617,1618,0,0,0,0,0,0,0,0,0
171.6,0,0,0,86325,0,0,0,0,0,0,0,0,0,1619,1620,0,0,0,0,0,0,0,0,0,0,0
